incident_id,date,incident_type,severity,status,description,reported_by
157,2025-11-29,Phishing,Low,Open,Suspicious email received,Liam
158,2025-11-29,Malware Attacks,High,In Progress,Ransomware detected,Hilary
159,2025-11-30,Data Breach,Critical,Resolved,Customer info leak,John
160,2025-11-30,Denial of Service,Medium,Open,DDoS attack,Mavin
161,2025-12-01,Insider Threat,High,In Progress,Internal data misuse,Olivia
162,2025-12-01,Ransomware,Critical,Open,Encrypted files,Hannah
163,2025-12-02,Credential Theft,Medium,Resolved,Account compromise,Alex
164,2025-12-02,Phishing,Low,Open,Malicious email,Mike
165,2025-12-03,Malware Attacks,High,In Progress,Trojan detected,Liam
166,2025-12-03,Data Breach,Critical,Resolved,Exposed PII,Hilary
167,2025-12-04,Denial of Service,Medium,Open,Server outage,Sarah
168,2025-12-04,Insider Threat,High,In Progress,Unauthorized access,John
169,2025-12-05,Ransomware,Critical,Open,Encrypted files,Mavin
170,2025-12-05,Masquerading,Medium,Resolved,Fake credentials used,Olivia
171,2025-12-06,Phishing,Low,Open,Suspicious email detected,Hannah
172,2025-12-06,Malware Attacks,High,In Progress,Ransomware dropped,Alex
173,2025-12-07,Data Breach,Critical,Resolved,Database leak,Mike
174,2025-12-07,Denial of Service,Medium,Open,DDoS attack,Liam
175,2025-12-08,Insider Threat,High,In Progress,Internal policy breach,John
176,2025-12-08,Ransomware,Critical,Open,Files encrypted,Hilary
177,2025-12-09,Credential Theft,Medium,Resolved,Stolen credentials,Mavin
178,2025-12-09,Phishing,Low,Open,Phishing website detected,Olivia
179,2025-12-10,Malware Attacks,High,In Progress,Trojan virus,Hannah
180,2025-12-10,Data Breach,Critical,Resolved,Customer info exposed,Alex
181,2025-12-11,Denial of Service,Medium,Open,Web server down,Mike
182,2025-12-11,Insider Threat,High,In Progress,Unauthorized access,Liam
183,2025-12-12,Ransomware,Critical,Open,Encrypted drives,Hilary
184,2025-12-12,Masquerading,Medium,Resolved,False advertisement,John
185,2025-12-13,Phishing,Low,Open,Suspicious email,Mavin
186,2025-12-13,Malware Attacks,High,In Progress,Ransomware detected,Olivia
187,2025-12-14,Data Breach,Critical,Resolved,Database exposed,Hannah
188,2025-12-14,Denial of Service,Medium,Open,DDoS attack,Alex
189,2025-12-15,Insider Threat,High,In Progress,Internal data misuse,Mike
190,2025-12-15,Ransomware,Critical,Open,Files encrypted,Liam
191,2025-12-16,Credential Theft,Medium,Resolved,Account compromise,Hilary
192,2025-12-16,Phishing,Low,Open,Suspicious email link,John

