id,title,description,status,assigned_to,resolved_date,created_at
28,Laptop overheating severely,Fans blasting even when idle,Resolved,Leona,,2025-11-05 09:14:19,2025-11-01 14:12:22
29,Mouse cursor drifting,Cursor moves without touching mouse,Resolved,Melissa,,2025-11-20 15:59:18,2025-11-18 11:45:52
30,Mouse scroll broken,Scroll wheel won’t scroll,Resolved,Joshua,,2025-11-02 12:33:05,2025-10-30 10:11:33
31,Overheating while gaming,Laptop gets extremely hot during games,Resolved,Harvey,,2025-11-08 12:44:58,2025-11-05 16:15:14
32,PC beeping on startup,Startup beeps nonstop,Resolved,Harry,,2025-11-09 18:01:45,2025-11-07 15:22:01
33,Phone black screen,Phone screen stays black,Open,Harvey,,,2025-10-31 11:55:41
34,Phone freezing,Phone randomly freezes,Resolved,Baron,,2025-11-25 08:55:49,2025-11-21 09:44:19
35,Phone reboot loop,Phone restarts over and over,Resolved,Harvey,,2025-11-16 08:14:19,2025-11-13 12:18:51
36,Phone storage full,Storage full even after deleting files,Resolved,Harvey,,2025-11-22 12:33:57,2025-11-19 10:11:37
37,Phone vibrating nonstop,Phone vibration stuck on,Resolved,Harvey,,2025-12-03 16:21:44,2025-11-30 10:33:28
38,Power button stuck,Power button unresponsive,Open,Leona,,,2025-10-28 08:44:12
39,Random pop-ups,Ads appear without apps open,Resolved,Baron,,2025-10-29 16:33:51,2025-10-27 10:12:44
40,Ringer not working,Phone doesn’t ring during calls,Resolved,Joshua,,2025-11-07 18:11:54,2025-11-04 12:55:22
41,Router overheating,Router becomes hot during use,Resolved,Melissa,,2025-11-26 13:55:01,2025-11-24 11:19:44
42,Screen flickering,Display flickers when lid moves,Open,Baron,,,2025-10-29 13:18:55
43,Screen ghosting,Shadows remain after scrolling,Resolved,Joshua,,2025-11-24 17:22:30,2025-11-22 14:18:07
44,Slow boot time,Laptop takes 15 minutes to start,Resolved,Joshua,,2025-12-04 12:44:28,2025-12-02 09:13:22
45,Slow internet,Internet speeds extremely slow,Resolved,Joshua,,2025-11-10 15:22:21,2025-11-09 08:14:44
46,Touchscreen not responding,Touch input delayed or unresponsive,Open,Melissa,,,2025-11-10 14:01:37
47,VPN disconnecting,VPN disconnects every few minutes,Resolved,Leona,,2025-11-18 14:02:45,2025-11-15 10:11:03
48,Weak WiFi signal,Only connects near router,In progress,Harry,,,2025-11-02 15:22:10
49,Webcam not detected,Camera not showing in apps,Open,Baron,,,2025-11-17 15:22:41
50,WiFi disconnecting,WiFi drops constantly,Resolved,Harvey,,2025-10-30 11:22:18,2025-10-28 09:12:44
51,WiFi not detected,Device doesn’t show networks,Open,Harry,,,2025-12-03 11:45:01
52,Broken USB port,My usb not being detected when plugged in,Open,Unassigned,,,2025-12-09 19:11:17
